"","hhID","circuitLabels","nFiles","minObsDate","maxObsDate","minFileDate","maxFileDate","nObs"
"1","rf_01","Heating$1633, Hot water$1636, Kitchen power$1632, Lights$1635, Mains$1634, Range$1637",3,2014-01-05 11:00:00,2015-10-20 02:50:00,2016-09-20 02:58:11,2016-09-30 00:16:15,855836
"2","rf_02","Cooking Bath tile heat$1573, Fridge$1572, Heating$1576, Hot Water$1574, Lights$1577, Mains$1575",3,2014-03-02 11:00:00,2015-05-28 04:23:00,2016-09-20 02:53:43,2016-09-30 00:14:19,592592
"3","rf_06","Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247",263,2014-06-08 12:00:00,2018-07-26 11:59:00,2016-05-25 10:26:07,2018-07-26 16:03:04,3128876
"4","rf_07","Incomer 1 - Uncontrolled$2726, Incomer 2 - Uncontrolled$2725, Kitchen Appliances & Laundry$2722, Microwave$2721, Oven$2724, Workshop$2723",263,2014-07-13 12:00:00,2018-07-26 11:59:00,2016-05-25 10:44:03,2018-07-26 16:03:04,3380609
"5","rf_08","Heat Pump$2092, Hot Water - Controlled$2094, Incomer - Uncontrolled$2093, Kitchen$2089, Laundry & 2nd Fridge Freezer$2090, Oven & Hob$2091",5,2014-05-28 12:00:00,2017-05-15 02:02:00,2016-05-25 05:48:18,2017-11-21 01:09:19,2536195
"6","rf_09","Heat Pump & Bedroom 2$2731, Incomer 1 - Uncont - Inc Hob$2729, Incomer 2 - Uncont - Inc Oven$2730, Kitchen Appliances$2727, Laundry$2732, Lounge, Dining & Bedrooms$2728",2,2014-07-13 12:00:00,2015-07-16 02:42:00,2016-09-21 01:26:07,2016-09-21 01:26:55,529363
"7","rf_10","Bedrooms & Lounge$2602, Heat Pump$2598, Incomer - All$2599, Kitchen Appliances$2601, Laundry & Garage$2597, Oven$2600",358,2014-07-08 12:00:00,2018-03-29 06:28:00,2016-05-25 10:16:08,2018-03-30 15:03:07,3734792
"8","rf_11","Heat Pump & Lounge$2590, Hob$2589, Hot Water Cpbd Heater- Cont$2586, Incomer - Uncontrolled$2585, Kitchen Appliances & Laundry$2588, Spa - Uncontrolled$2587",565,2014-07-07 12:00:00,2018-07-26 11:59:00,2016-05-25 06:15:06,2018-07-26 16:03:06,4353936
"9","rf_12","Incomer 1 - Hot Water - Cont$2626, Incomer 2 - Uncontrolled$2625, Incomer 3 - Uncontrolled$2627, Kitchen Appliances & Lounge$2630, Laundry, Fridge & Microwave$2628, Oven$2629",2,2014-07-08 12:00:00,2015-06-02 20:07:00,2016-09-21 00:44:42,2016-09-21 00:46:01,410063
"10","rf_13","Downstairs (inc 1 Heat Pump)$2212, Hot Water - Controlled$2208, Incomer - Uncontrolled$2209, Kitchen & Laundry$2213, Oven & Hob$2210, Upstairs Heat Pumps$2211",497,2014-06-05 12:00:00,2018-07-26 11:59:00,2016-05-25 05:57:08,2018-07-26 16:03:08,4060513
"11","rf_14","Hot Water - Controlled$2719, Incomer 1 - Uncont inc Stove$2718, Incomer 2 - Uncont inc Oven$2717, Kitchen Appliances$2715, Laundry & Microwave$2720, Power Outlets$2716",329,2014-07-13 12:00:00,2017-12-30 01:59:00,2016-06-08 03:31:15,2017-12-31 15:03:08,2654180
"12","rf_15","Hob$3954, Hot Water$3952, Incomer 1$3956, Incomer 2$3955, Laundry & Kitchen Appliances$3951, Oven$3953",2,2015-01-14 11:00:00,2016-04-18 20:37:00,2016-09-21 00:47:53,2016-09-21 00:49:20,395011
