hhID,fullPath,nObs,minDateTime,maxDateTime,TZ_orig,dateFormat,mDateTime,fSize,nCircuits,circuitLabels
rf_01,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_01/1Jan2014-24May2014at1.csv,114725,2014-01-05T11:00:00Z,2014-05-24T11:59:00Z,date NZ,ymd - default (but day/month value <= 12),2016-09-20T02:59:05Z,6255737,6,"Heating$1633, Hot water$1636, Kitchen power$1632, Lights$1635, Mains$1634, Range$1637"
rf_01,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_01/24May2014-24May2015at1.csv,527040,2014-05-23T12:00:00Z,2015-05-24T11:59:00Z,date NZ,ymd - definite,2016-09-20T02:58:11Z,28791553,6,"Heating$1633, Hot water$1636, Kitchen power$1632, Lights$1635, Mains$1634, Range$1637"
rf_01,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_01/25May2015-25May2016at1.csv,214071,2015-05-24T12:00:00Z,2015-10-20T02:50:00Z,date NZ,ymd - definite,2016-09-30T00:16:15Z,11597234,6,"Heating$1633, Hot water$1636, Kitchen power$1632, Lights$1635, Mains$1634, Range$1637"
rf_02,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_02/1Jan2014-24May2014at1.csv,119520,2014-03-02T11:00:00Z,2014-05-24T11:59:00Z,date NZ,ymd - default (but day/month value <= 12),2016-09-20T02:56:09Z,6131625,6,"Cooking Bath tile heat$1573, Fridge$1572, Heating$1576, Hot Water$1574, Lights$1577, Mains$1575"
rf_02,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_02/24May2014-24May2015at1.csv,467768,2014-05-23T12:00:00Z,2015-05-24T11:59:00Z,date NZ,ymd - definite,2016-09-20T02:53:43Z,23987713,6,"Cooking Bath tile heat$1573, Fridge$1572, Heating$1576, Hot Water$1574, Lights$1577, Mains$1575"
rf_02,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_02/25May2015-25May2016at1.csv,5304,2015-05-24T12:00:00Z,2015-05-28T04:23:00Z,date NZ,ymd - definite,2016-09-30T00:14:19Z,283467,6,"Cooking Bath tile heat$1573, Fridge$1572, Heating$1576, Hot Water$1574, Lights$1577, Mains$1575"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Apr2018-11Apr2018at1.csv,2880,2018-04-09T12:00:00Z,2018-04-11T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-04-11T16:03:04Z,156944,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Dec2017-11Dec2017at1.csv,2880,2017-12-09T11:00:00Z,2017-12-11T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2017-12-11T15:03:04Z,156601,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Feb2018-11Feb2018at1.csv,2880,2018-02-09T11:00:00Z,2018-02-11T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-02-11T15:03:04Z,153353,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Jan2018-11Jan2018at1.csv,2880,2018-01-09T11:00:00Z,2018-01-11T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-01-11T15:03:04Z,153982,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Jul2018-11Jul2018at1.csv,2880,2018-07-09T12:00:00Z,2018-07-11T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-07-11T16:03:04Z,158338,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Jun2018-11Jun2018at1.csv,2880,2018-06-09T12:00:00Z,2018-06-11T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-06-11T16:03:05Z,156641,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Mar2018-11Mar2018at1.csv,2880,2018-03-09T11:00:00Z,2018-03-11T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-03-11T15:03:04Z,156471,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10May2018-11May2018at1.csv,2880,2018-05-09T12:00:00Z,2018-05-11T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-05-11T16:03:04Z,156683,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/10Nov2017-11Nov2017at1.csv,2880,2017-11-09T11:00:00Z,2017-11-11T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2017-11-11T15:03:03Z,155639,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Apr2018-12Apr2018at1.csv,2880,2018-04-10T12:00:00Z,2018-04-12T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-04-12T16:03:05Z,157181,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Dec2017-12Dec2017at1.csv,2880,2017-12-10T11:00:00Z,2017-12-12T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2017-12-12T15:03:04Z,157814,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Feb2018-12Feb2018at1.csv,2880,2018-02-10T11:00:00Z,2018-02-12T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-02-12T15:03:04Z,153859,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Jan2018-12Jan2018at1.csv,2880,2018-01-10T11:00:00Z,2018-01-12T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-01-12T15:03:04Z,153786,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Jul2018-12Jul2018at1.csv,2880,2018-07-10T12:00:00Z,2018-07-12T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-07-12T16:03:03Z,157137,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Jun2018-12Jun2018at1.csv,2880,2018-06-10T12:00:00Z,2018-06-12T11:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-06-12T16:03:04Z,157472,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
rf_06,/Volumes/hum-csafe/Research Projects/GREEN Grid/_RAW DATA/GridSpyData/rf_06/11Mar2018-12Mar2018at1.csv,2880,2018-03-10T11:00:00Z,2018-03-12T10:59:00Z,date UTC,ymd - default (but day/month value <= 12),2018-03-12T15:03:05Z,154349,6,"Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247"
