question,questionLabel,included in safe data?
linkID,linkID,Yes
StartDate,StartDate,Yes
Q5,The region that you live in is:,
Q7,When was your house built?,Yes
Q10#1_1_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bedrooms-Rooms,Yes
Q10#1_1_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bedrooms-Rooms heated regularly,Yes
Q10#1_2_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Lounges or living rooms-Rooms,Yes
Q10#1_2_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Lounges or living rooms-Rooms heated regularly,Yes
Q10#1_3_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Dining rooms or kitchen/dining rooms-Rooms,Yes
Q10#1_3_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Dining rooms or kitchen/dining rooms-Rooms heated regularly,Yes
Q10#1_4_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate Kitchens-Rooms,Yes
Q10#1_4_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate Kitchens-Rooms heated regularly,Yes
Q10#1_5_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Studies or offices-Rooms,Yes
Q10#1_5_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Studies or offices-Rooms heated regularly,Yes
Q10#1_6_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bathrooms-Rooms,Yes
Q10#1_6_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bathrooms-Rooms heated regularly,Yes
Q10#1_7_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate toilets-Rooms,Yes
Q10#1_7_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate toilets-Rooms heated regularly,Yes
Q10#1_8_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Laundries-Rooms,Yes
Q10#1_8_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Laundries-Rooms heated regularly,Yes
Q11_1,How many hours of direct sunshine would your house get on a clear / winterâ€™s day in June-July?-Hours,Yes
Q14_1,How long have you lived in your current house? (in years) -Years,Yes
Q15_1,How much longer do you plan to live in your house?-Years,Yes
Q17_1,What temperature do you set your main living area at in degrees / Celsius?-Degrees Celsius,Yes
Q18_1,"What temperature would you like your main living area to be, in / degrees Celsius?-Degrees Celsius",Yes
Q30_1,"What temperature do you set your heat pump to for cooling, in / degrees Celcius?-Degrees Celsius",Yes
Q33_1,"If known, what temperature do you set your hot water to?  / (degrees Celsius)-Degrees Celsius",Yes
