file,hhID,fileName,fullPath,fSize,fMTime,fMDate,dateColName,dateExample,dateFormat
rf_01/10Apr2017-11Apr2017at1.csv,rf_01,10Apr2017-11Apr2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Apr2017-11Apr2017at1.csv,2751,2017-04-11T16:03:03Z,2017-04-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Apr2018-11Apr2018at1.csv,rf_01,10Apr2018-11Apr2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Apr2018-11Apr2018at1.csv,43,2018-04-11T16:03:03Z,2018-04-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Aug2017-11Aug2017at1.csv,rf_01,10Aug2017-11Aug2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Aug2017-11Aug2017at1.csv,2751,2017-08-11T16:03:03Z,2017-08-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Dec2017-11Dec2017at1.csv,rf_01,10Dec2017-11Dec2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Dec2017-11Dec2017at1.csv,43,2017-12-11T15:03:02Z,2017-12-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Feb2017-11Feb2017at1.csv,rf_01,10Feb2017-11Feb2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Feb2017-11Feb2017at1.csv,2751,2017-02-11T15:03:03Z,2017-02-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Feb2018-11Feb2018at1.csv,rf_01,10Feb2018-11Feb2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Feb2018-11Feb2018at1.csv,43,2018-02-11T15:03:03Z,2018-02-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Jan2017-11Jan2017at1.csv,rf_01,10Jan2017-11Jan2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jan2017-11Jan2017at1.csv,2751,2017-01-11T15:03:03Z,2017-01-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Jan2018-11Jan2018at1.csv,rf_01,10Jan2018-11Jan2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jan2018-11Jan2018at1.csv,43,2018-01-11T15:03:03Z,2018-01-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Jul2017-11Jul2017at1.csv,rf_01,10Jul2017-11Jul2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jul2017-11Jul2017at1.csv,2751,2017-07-11T16:03:03Z,2017-07-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Jul2018-11Jul2018at1.csv,rf_01,10Jul2018-11Jul2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jul2018-11Jul2018at1.csv,43,2018-07-11T16:03:03Z,2018-07-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Jun2017-11Jun2017at1.csv,rf_01,10Jun2017-11Jun2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jun2017-11Jun2017at1.csv,2751,2017-06-11T16:03:03Z,2017-06-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Jun2018-11Jun2018at1.csv,rf_01,10Jun2018-11Jun2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Jun2018-11Jun2018at1.csv,43,2018-06-11T16:03:03Z,2018-06-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Mar2017-11Mar2017at1.csv,rf_01,10Mar2017-11Mar2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Mar2017-11Mar2017at1.csv,2751,2017-03-11T15:03:03Z,2017-03-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Mar2018-11Mar2018at1.csv,rf_01,10Mar2018-11Mar2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Mar2018-11Mar2018at1.csv,43,2018-03-11T15:03:03Z,2018-03-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10May2017-11May2017at1.csv,rf_01,10May2017-11May2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10May2017-11May2017at1.csv,2751,2017-05-11T16:03:03Z,2017-05-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10May2018-11May2018at1.csv,rf_01,10May2018-11May2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10May2018-11May2018at1.csv,43,2018-05-11T16:03:03Z,2018-05-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Nov2017-11Nov2017at1.csv,rf_01,10Nov2017-11Nov2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Nov2017-11Nov2017at1.csv,43,2017-11-11T15:03:03Z,2017-11-11,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/10Oct2017-11Oct2017at1.csv,rf_01,10Oct2017-11Oct2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Oct2017-11Oct2017at1.csv,2751,2017-10-11T15:03:03Z,2017-10-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/10Sep2017-11Sep2017at1.csv,rf_01,10Sep2017-11Sep2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/10Sep2017-11Sep2017at1.csv,2751,2017-09-11T16:03:03Z,2017-09-11,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/11Apr2017-12Apr2017at1.csv,rf_01,11Apr2017-12Apr2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Apr2017-12Apr2017at1.csv,2751,2017-04-12T16:03:05Z,2017-04-12,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/11Apr2018-12Apr2018at1.csv,rf_01,11Apr2018-12Apr2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Apr2018-12Apr2018at1.csv,43,2018-04-12T16:03:04Z,2018-04-12,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/11Aug2017-12Aug2017at1.csv,rf_01,11Aug2017-12Aug2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Aug2017-12Aug2017at1.csv,2751,2017-08-12T16:03:02Z,2017-08-12,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/11Dec2017-12Dec2017at1.csv,rf_01,11Dec2017-12Dec2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Dec2017-12Dec2017at1.csv,43,2017-12-12T15:03:03Z,2017-12-12,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/11Feb2017-12Feb2017at1.csv,rf_01,11Feb2017-12Feb2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Feb2017-12Feb2017at1.csv,2751,2017-02-12T15:03:03Z,2017-02-12,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_01/11Feb2018-12Feb2018at1.csv,rf_01,11Feb2018-12Feb2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Feb2018-12Feb2018at1.csv,43,2018-02-12T15:03:03Z,2018-02-12,Unknown - ignore as fsize ( 43 ) < dataThreshold ( 3000 ),,
rf_01/11Jan2017-12Jan2017at1.csv,rf_01,11Jan2017-12Jan2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_01/11Jan2017-12Jan2017at1.csv,2751,2017-01-12T15:03:03Z,2017-01-12,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
